ID,Gd,Md,Dd,Ed,SE,AI,CI,LA,LAT,CH,PA,LS
TNFSH1002,M,No,0,Graduate,No,5849,0,,360,1,Urban,Y
TNFSH1003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
TNFSH1005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
TNFSH1006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
TNFSH1008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
TNFSH1011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
TNFSH1013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
TNFSH1014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
TNFSH1018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
TNFSH1020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
TNFSH1024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
TNFSH1027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
TNFSH1028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
TNFSH1029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
TNFSH1030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
TNFSH1032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
TNFSH1034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
TNFSH1036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
TNFSH1038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
TNFSH1041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
TNFSH1043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
TNFSH1046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
TNFSH1047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
TNFSH1050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
TNFSH1052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
TNFSH1066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
TNFSH1068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
TNFSH1073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
TNFSH1086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
TNFSH1087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
TNFSH1091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
TNFSH1095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
TNFSH1097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
TNFSH1098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
TNFSH1100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
TNFSH1106,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
TNFSH1109,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
TNFSH1112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
TNFSH1114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
TNFSH1116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
TNFSH1119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
TNFSH1120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
TNFSH1123,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
TNFSH1131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
TNFSH1136,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
TNFSH1137,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
TNFSH1138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
TNFSH1144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
TNFSH1146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
TNFSH1151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
TNFSH1155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
TNFSH1157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
TNFSH1164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
TNFSH1179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
TNFSH1186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
TNFSH1194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
TNFSH1195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
TNFSH1197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
TNFSH1198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
TNFSH1199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
TNFSH1205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
TNFSH1206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
TNFSH1207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
TNFSH1213,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
TNFSH1222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
TNFSH1225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
TNFSH1228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
TNFSH1233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
TNFSH1238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
TNFSH1241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
TNFSH1243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
TNFSH1245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
TNFSH1248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
TNFSH1250,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
TNFSH1253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
TNFSH1255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
TNFSH1256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
TNFSH1259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
TNFSH1263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
TNFSH1264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
TNFSH1265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
TNFSH1266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
TNFSH1267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
TNFSH1273,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
TNFSH1275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
TNFSH1279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
TNFSH1280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
TNFSH1282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
TNFSH1289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
TNFSH1310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
TNFSH1316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
TNFSH1318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
TNFSH1319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
TNFSH1322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
TNFSH1325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
TNFSH1326,Male,No,0,Graduate,,6782,0,,360,,Urban,N
TNFSH1327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
TNFSH1333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
TNFSH1334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
TNFSH1343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
TNFSH1345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
TNFSH1349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
TNFSH1350,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y
TNFSH1356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
TNFSH1357,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
TNFSH1367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
TNFSH1369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
TNFSH1370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N
TNFSH1379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
TNFSH1384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
TNFSH1385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
TNFSH1387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
TNFSH1391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
TNFSH1392,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
TNFSH1398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
TNFSH1401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
TNFSH1404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
TNFSH1405,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
TNFSH1421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
TNFSH1422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
TNFSH1426,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
TNFSH1430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
TNFSH1431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
TNFSH1432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
TNFSH1439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
TNFSH1443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
TNFSH1448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
TNFSH1449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
TNFSH1451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
TNFSH1465,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
TNFSH1469,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
TNFSH1473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
TNFSH1478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
TNFSH1482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
TNFSH1487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
TNFSH1488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
TNFSH1489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
TNFSH1491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
TNFSH1492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
TNFSH1493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
TNFSH1497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
TNFSH1498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
TNFSH1504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
TNFSH1507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
TNFSH1508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
TNFSH1514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
TNFSH1516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
TNFSH1518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
TNFSH1519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
TNFSH1520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
TNFSH1528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
TNFSH1529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
TNFSH1531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
TNFSH1532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
TNFSH1535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
TNFSH1536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
TNFSH1541,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
TNFSH1543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
TNFSH1546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
TNFSH1552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
TNFSH1560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
TNFSH1562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
TNFSH1565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
TNFSH1570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
TNFSH1572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
TNFSH1574,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
TNFSH1577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
TNFSH1578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
TNFSH1579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
TNFSH1580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
TNFSH1581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
TNFSH1585,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
TNFSH1586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
TNFSH1594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
TNFSH1603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
TNFSH1606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
TNFSH1608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
TNFSH1610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
TNFSH1616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
TNFSH1630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
TNFSH1633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
TNFSH1634,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
TNFSH1636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
TNFSH1637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
TNFSH1639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
TNFSH1640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
TNFSH1641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
TNFSH1643,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
TNFSH1644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
TNFSH1647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
TNFSH1653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
TNFSH1656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
TNFSH1657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
TNFSH1658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
TNFSH1664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
TNFSH1665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
TNFSH1666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
TNFSH1669,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
TNFSH1671,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
TNFSH1673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
TNFSH1674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
TNFSH1677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
TNFSH1682,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
TNFSH1688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
TNFSH1691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
TNFSH1692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
TNFSH1693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
TNFSH1698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
TNFSH1699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
TNFSH1702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
TNFSH1708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
TNFSH1711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
TNFSH1713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
TNFSH1715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
TNFSH1716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
TNFSH1720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
TNFSH1722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
TNFSH1726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
TNFSH1732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
TNFSH1734,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
TNFSH1736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
TNFSH1743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
TNFSH1744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
TNFSH1749,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
TNFSH1750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
TNFSH1751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
TNFSH1754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
TNFSH1758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
TNFSH1760,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
TNFSH1761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
TNFSH1765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
TNFSH1768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
TNFSH1770,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
TNFSH1776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
TNFSH1778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
TNFSH1784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
TNFSH1786,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
TNFSH1788,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
TNFSH1790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
TNFSH1792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
TNFSH1798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
TNFSH1800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
TNFSH1806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
TNFSH1807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
TNFSH1811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
TNFSH1813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
TNFSH1814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
TNFSH1819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
TNFSH1824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
TNFSH1825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
TNFSH1835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
TNFSH1836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
TNFSH1841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
TNFSH1843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
TNFSH1844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
TNFSH1846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
TNFSH1849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
TNFSH1854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
TNFSH1859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
TNFSH1864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N
TNFSH1865,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y
TNFSH1868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
TNFSH1870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
TNFSH1871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
TNFSH1872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
TNFSH1875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
TNFSH1877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
TNFSH1882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y
TNFSH1883,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
TNFSH1884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
TNFSH1888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
TNFSH1891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
TNFSH1892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
TNFSH1894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
TNFSH1896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
TNFSH1900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
TNFSH1903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
TNFSH1904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
TNFSH1907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
TNFSH1908,Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,Y
TNFSH1910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
TNFSH1914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
TNFSH1915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
TNFSH1917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
TNFSH1922,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
TNFSH1924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
TNFSH1925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
TNFSH1926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
TNFSH1931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
TNFSH1935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
TNFSH1936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
TNFSH1938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
TNFSH1940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
TNFSH1945,Female,No,,Graduate,No,5417,0,143,480,0,Urban,N
TNFSH1947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
TNFSH1949,Male,Yes,3+,Graduate,,4416,1250,110,360,1,Urban,Y
TNFSH1953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y
TNFSH1954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
TNFSH1955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
TNFSH1963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
TNFSH1964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
TNFSH1972,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y
TNFSH1974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
TNFSH1977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
TNFSH1978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
TNFSH1990,Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,N
